Precipitation,January-December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: Inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Period: 2000-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State_Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2000,42.49,40.08,11.13,45.7,21.43,16.91,48.74,46.19,40.29,41.38,20.89,39.77,43.4,29.73,25.48,45.29,47.8,43.15,43.92,50.19,33.02,27.98,44.64,35.7,15.67,20.36,10.48,48.77,45.25,13.36,46.24,44.36,21.31,40.85,36.93,27.91,41.38,48.84,41.24,19.12,45.02,27.83,13.53,48.62,40.33,34.21,42.59,34.19,14.31
2001,59.04,37.5,10.79,55.41,23.02,16.81,39.54,39.22,52.21,41.8,19.13,39.65,43.96,34.59,27.75,45.43,68.31,29.83,36.02,39.98,35.17,29.28,66.28,43.61,14.94,24.48,8.93,34.87,35.55,11.82,34.14,37.81,16.82,37.3,31.98,26.84,34.36,43.24,34.72,20.18,54,29.11,11.69,34.36,34.88,39.16,39.86,35.05,11.91
2002,57.13,40.52,6.97,52.83,18.68,11.85,47.42,46.47,58.49,49.72,18.98,39.06,42.19,29.48,22.44,53.51,64.27,40.98,41.47,47.23,30.9,28.59,66.08,40.21,17.17,15.65,6.24,44.89,45.91,12.29,43.56,47.53,15.83,38.6,35.01,26.21,43.55,47.45,46.54,14.3,59.22,30.65,9.04,47.26,42.62,36.51,48.56,35.08,11.97
2003,63.72,39,10.51,44.84,21.63,16.44,56.12,57.82,58.77,57.23,22.56,37.78,46.4,28.69,25.11,55.98,51.95,46.02,60.74,53.29,31.08,22.2,58.98,40.03,17.39,19.98,9.82,50.38,56.48,9.07,48.02,63.16,16.24,46.42,27.87,32.06,53.57,52.96,55.19,17.13,61.76,24.2,11.53,49.82,61.89,43.47,59.42,28.02,15.13
2004,59.88,38.74,13.52,57.02,21.76,18.93,48.61,44.71,57.22,52.16,23.18,39.97,43.4,35.41,30.91,55.94,72.48,38.8,46.59,46.5,35.35,29.87,65.81,44.53,16.84,22.93,11.35,43.24,48.7,17.25,45.17,49.15,18.86,45.45,40.19,29.69,53.9,47.61,45.85,20.79,61.24,39.36,15.27,41.85,48.94,37.65,53.07,34.91,14.56
2005,57.08,40.36,13.09,35.75,30.1,18.95,54.68,46.87,59.48,54.74,24.58,31.43,40.89,29.84,29.6,39.8,45.57,61.59,44.03,57.01,29.89,31.6,50.64,36.41,20.01,23.57,13.55,61.09,48.81,14.34,46.85,47.58,20.98,40.11,27.56,33.22,42.97,57.83,47.51,20.7,44.68,22.2,16.68,52.39,39.83,38.64,41.89,28.55,16.27
2006,47.54,38.71,9.76,49.33,23.61,18.67,57.01,46.76,41,39,26.38,40.64,51.02,32.4,24.73,52.37,55.4,51.65,44.97,53.7,35.85,22.78,52.47,38.01,18.24,21.56,9.67,58.25,51.41,15.97,48.89,51.17,14.02,43.56,29.81,36.44,47.57,56.7,43.73,15.93,48.87,25.13,14.41,54.28,46.2,50.26,43.63,30.08,12.74
2007,37.86,34.09,10.99,46.7,13.83,18.71,45.54,38.4,43.72,38.07,19.56,36.69,41.79,42.41,33.26,41.86,52.42,47.63,36.05,45.49,30.66,29.21,41.78,39.58,17.97,28.64,7.59,48.33,46.93,14.75,44.47,34.75,19,41.16,43.57,28.99,44.12,44.46,34.9,22.94,37.72,36.2,11.28,48.83,35.19,40.24,42.85,33.49,15.05
2008,53.07,37.09,12.31,60.48,17.85,17.46,59.53,42.61,53.13,46.99,21.97,50.17,49.69,42.92,33.34,46.51,56.13,56.02,45,59.7,36.85,27.34,59.44,56.1,19.48,28.1,7.69,60.78,47.22,13.74,47.73,45.81,19.76,44.11,38.31,28.63,45.82,56.7,45.77,23.68,49.77,23.8,11.66,54.63,40.64,37.39,46.04,32.72,16.05
2009,73.77,35.21,7.03,72.2,17.05,18.79,50.5,55.94,53.77,61.48,22.88,50.96,46.06,39.15,31.8,54.35,64.04,49.46,51.27,51.71,33.87,26.39,68.42,51.71,17.45,25.7,9.22,51.67,53.17,11.94,42.37,53.2,18.96,36.5,38.04,27.62,42.77,54.02,50.56,22.59,60.28,28.54,11.8,47.43,51.25,39.9,46.8,29.76,17
2010,47.19,33.85,13.91,38.79,31.18,18.19,48.54,40.56,48.12,43.04,26.14,40.68,37.39,44.05,27.84,43.54,41.76,49.31,40.89,49.63,31.22,33.44,43.91,44.57,21.99,27.07,13.06,50,44.6,14.82,43.92,46.27,23.48,36.76,32.04,37.91,42.31,53.32,41.19,24.68,49.65,27.81,17.23,49.21,41.74,47.32,42.43,39.02,17.25
2011,50.71,38.74,9.63,55.84,18.79,17.62,63.69,44.56,46.77,40.11,24.69,46.1,55.2,31.83,24.17,64.35,43.01,50.04,51.11,60.83,36.82,24.35,52.84,45.7,22.85,25.81,8.62,57.49,63.95,9.8,55.71,45.99,21.44,55.95,26.24,30.68,61,57.53,38.21,22.13,62.59,14.7,14.71,58.22,48.3,43.82,55.1,31.04,18.55
2012,53.38,37.28,9.56,39.81,23.45,12.31,39.39,39.32,55.09,42.02,25.71,30.11,33.82,25.61,19.29,43.21,62.88,47.38,40.4,41.78,31,26.17,59.17,31.03,16.81,13.36,8.89,45.18,41.99,8.41,39.56,46.62,15.09,37.28,25.7,40.08,43.49,41.13,43.77,14.58,46.89,24.1,10.69,42.35,40.05,52.87,44.62,28.8,10.96
2013,64.7,40.81,12.13,54.24,7.93,18.79,43.39,50.75,56.87,63.49,17.64,42.49,45.14,34.44,29.03,55.78,61.43,45.61,46.04,46.39,38.23,29.01,62.93,45.71,20.02,23.44,7.46,45.76,46.38,13.67,43.99,56.45,23.28,41.69,36.7,22.72,41.82,43.17,56.39,24.94,63.27,26.02,13.21,46.56,51.37,35.68,47.59,36.53,16.32
